Dizinin_İsmi,Dizinin_Başlangıç_Yılı,Dizinin_isminin_uzunluğu,Romantik,Dram,Gençlik,Komedi,Macera,KanalD,StarTV,TRT1,ATV,ShowTV,Fox,SamanyoluTV,TV8,Televizyon_Dizisi,İnternet_Dizisi,Bölüm_Süresi,Toplam_Bölüm_Sayısı,Sezon_Başına_Bölüm_Sayısı,Sezon_Sayısı
Affedilmeyen,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1
Annem,2007,5,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,100,64,32.0,2
Arka Sıradakiler,2007,16,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,100,193,32.0,6
Asi,2007,3,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,71,36.0,2
Aşk Eski Bir Yalan,0,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,1
Aşk Kapıyı Çalınca,2007,18,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,8,8.0,1
Aşk Yeniden,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1
Ayda,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1
Ayrılık,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,1
Baba Oluyorum,0,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1
Benden Baba Olmaz,0,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,1
Bez Bebek,2007,9,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,80,101,34.0,3
Bıçak Sırtı,2007,11,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,30,30.0,1
Cumhur Cemaat,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,1
Çatı Katı,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0
Çok Özel Tim / Ç.Ö. T.,0,22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,1
Dağlar Delisi,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,1
Dede Korkut Hikâyeleri,0,22,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1
Dicle,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1
Dudaktan Kalbe,2007,14,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,100,75,38.0,2
Duvar,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1
Düş Yakamdan,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,1
Eksik Etek,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,1
El Gibi,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1
Elif'in Günlüğü,0,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,1
Elveda Derken,2007,13,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,51,26.0,2
Elveda Rumeli,2007,13,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,90,83,28.0,3
Ertelenmiş Hayatlar,0,19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1
Eşref Saati,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,2
Evimin Erkeği,0,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1
Fedai,2007,5,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,80,8,8.0,1
Fesupanallah,2007,12,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,80,8,8.0,1
Fikrimin İnce Gülü,0,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,1
Fırtınalı Aşk,0,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1
Gemilerde Talim Var,0,19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1
