Dizinin_İsmi,Dizinin_Başlangıç_Yılı,Dizinin_isminin_uzunluğu,Romantik,Dram,Gençlik,Komedi,Macera,KanalD,StarTV,TRT1,ATV,ShowTV,Fox,SamanyoluTV,TV8,Televizyon_Dizisi,İnternet_Dizisi,Bölüm_Süresi,Toplam_Bölüm_Sayısı,Sezon_Başına_Bölüm_Sayısı,Sezon_Sayısı
50m²,2021,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30,8,8.0,1
Acans,2021,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10,10.0,1
Ada Masalı,2021,10,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,130,25,25.0,1
Adım Başı Kafe,2021,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,10.0,1
Akıncı,2021,6,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,120,20,20.0,1
Alparslan: Büyük Selçuklu,2021,25,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,150,61,30.0,2
Annemizi Saklarken,2021,18,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,120,8,8.0,1
Aşkın Tarifi,2021,12,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,110,13,13.0,1
Aşk Mantık İntikam,2021,18,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,120,42,42.0,1
Ayak İşleri,2021,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,25,30,10.0,3
Aziz,2021,4,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,120,28,28.0,1
Babam Çok Değişti,2020,17,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,130,8,8.0,1
Baht Oyunu,2021,10,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,17,17.0,1
Barbaroslar: Akdeniz'in Kılıcı,2021,30,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,120,32,32.0,1
Baş Belası,2021,10,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,150,13,13.0,1
Benim Hayatım,2021,13,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,120,6,6.0,1
Bir Yeraltı Sit-com'u,2021,21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,10.0,1
Bir Zamanlar Kıbrıs/ Kıbrıs: Zafere Doğru,2021,41,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,135,24,12.0,2
Bizi Ayıran Çizgi,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Bonkis,2021,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,15,8.0,2
Bozkır Arslanı Celaleddin,2021,25,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,120,7,7.0,1
Börü 2039,2021,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60,6,6.0,1
Cam Tavanlar,2021,12,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,150,8,8.0,1
Camdaki Kız,2021,11,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,120,82,27.0,3
Çember,2017,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100,19,19.0,1
Destan,2021,6,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,135,28,14.0,2
Doğu,2021,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,25,16,8.0,2
Dümen,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Dünya Hali,2021,10,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,50,20,20.0,1
Eee Sonra,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Elkızı,2021,6,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,120,13,13.0,1
Elbet Bir Gün,2021,13,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,120,6,6.0,1
Evlilik Hakkında Her Şey,2021,24,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,120,33,33.0,1
Ex Aşkım,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Etkileyici,2021,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,10.0,2
Fandom,2021,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,25,26,13.0,2
Fatma,2021,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,45,6,6.0,1
Gibi,2021,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,42,10.0,4
Girift,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Hamlet,2021,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,40,7,7.0,1
Hiç,2021,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,20,8,8.0,1
Hükümsüz,2021,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30,10,10.0,1
İçimizden Biri,2021,14,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,130,6,6.0,1
İkimizin Sırrı,2021,14,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,150,10,10.0,1
İlginç Bazı Olaylar,2021,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,30,20,10.0,2
İlk ve Son,2021,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,8.0,1
İşte Bu Benim Masalım,2021,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,8,8.0,1
Kaderimin Oyunu,2021,15,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,120,26,26.0,1
Kağıt Ev,2021,8,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,150,8,8.0,1
Kalp Yarası,2021,11,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,150,32,32.0,1
Kanunsuz Topraklar,2021,18,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,150,16,16.0,1
Kardeşlerim,2021,11,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,135,111,28.0,4
Kazara Aşk,2021,10,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,135,13,13.0,1
Kahraman Babam,2021,14,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,120,8,8.0,1
Kırık Hayatlar,2021,14,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,100,100.0,1
Kulüp,2021,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,50,20,10.0,2
Leyla ile Mecnun,2011,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,60,144,36.0,4
Mahkum,2021,6,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,130,31,16.0,2
Mahrem,2021,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,10.0,1
Maraşlı,2021,7,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,120,26,26.0,1
Masal Şatosu: Peri Hırsızı,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2
Masumiyet,2021,9,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,120,13,13.0,1
Mavera,2021,6,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,90,26,26.0,1
Metot,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Misafir,2021,7,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,130,5,5.0,1
Olağan Şüpheliler,2021,17,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,30,10,10.0,1
Orta Kafa Aşk,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2
Öğrenci Evi,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Ölüm Zamanı,2021,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8.0,1
Özelden Yürüyenler,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2
Saklı,2021,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,10.0,1
Sana Söz,2021,8,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,120,7,7.0,1
Seni Çok Bekledim,2021,17,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,120,13,13.0,1
Senkron,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Sesli Güldüm,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Seyyar,2021,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,60,10,10.0,1
Sihirli Annem,2021,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,15.0,2
Son Yaz,2021,7,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,120,26,13.0,2
Şeref Bey,2021,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,30,10,10.0,1
Terapist,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Teşkilat,2021,8,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,135,89,22.0,4
Tozkoparan İskender,2021,19,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,60,46,23.0,2
Uzak Şehrin Masalı,2021,18,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,150,5,5.0,1
Üç Kuruş,2021,8,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,120,28,28.0,1
Vahşi Şeyler,2021,12,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20,8,8.0,1
Yalancı,2021,7,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,120,10,10.0,1
Yalancılar ve Mumları,2021,21,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,120,5,5.0,1
Yargı,2021,5,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,140,77,26.0,3
Yeşilçam,2021,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,60,20,10.0,2
Yetiş Zeynep,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
