Dizinin_İsmi,Dizinin_Başlangıç_Yılı,Dizinin_isminin_uzunluğu,Romantik,Dram,Gençlik,Komedi,Macera,KanalD,StarTV,TRT1,ATV,ShowTV,Fox,SamanyoluTV,TV8,Televizyon_Dizisi,İnternet_Dizisi,Bölüm_Süresi,Toplam_Bölüm_Sayısı,Sezon_Başına_Bölüm_Sayısı,Sezon_Sayısı
Acemi Müezzin,0,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1
Açık Mutfak,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Ah Kalbim,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1
Aile Reisi,2009,10,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,75,18,18.0,1
Aile Saadeti,2009,12,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,5,5.0,1
Alayına İsyan,0,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1
Altın Kızlar,2009,12,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,5,5.0,1
Aşk Bir Hayal,0,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,2
Aynadaki Düşman,2009,15,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,120,13,13.0,1
Ayrılık,2009,7,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,26,13.0,2
Balkan Düğünü,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,1
Bahar Dalları,0,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1
Bir Bulut Olsam,2009,15,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,90,29,14.0,2
Bu Kalp Seni Unutur mu?,2009,23,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,17,17.0,1
Cam Kırıkları,0,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1
Canını Sevdiğimin İstanbulu,0,27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1
Çılgın Kanal,0,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1
Çocukluk Günleri,0,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1
Deniz Yıldızı,2009,13,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0,30,1287,184.0,7
Dördüncü Osman,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,1
ES-ES,0,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.0,1
Ey Aşk Nerdesin?,0,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1
Ezel,2009,4,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,90,71,36.0,2
Geniş Aile,2009,10,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,90,108,36.0,3
Haneler,2009,7,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,80,52,26.0,2
Hanımın Çiftliği,2009,16,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,90,70,35.0,2
Hesaplaşma,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1
Hicran Yarası,0,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,2
İstanbul Çocukları,0,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,1
İyilik Kervanı,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,1
Kahramanlar,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,1
Kahve Bahane,2010,12,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,20,253,253.0,1
Kandıramazsın Beni,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Kapadokya Düşleri,0,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1
Kapalıçarşı,2009,11,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,38,19.0,2
Kasaba,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1
Ritmini Arayan Kalpler,2009,22,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,120,30,30.0,1
Kış Masalı,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1
Kız Kaçıran,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1
Komşu Köyün Delisi,0,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1
Kurban,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1
Kül ve Ateş,2009,11,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,9,9.0,1
Makber,2009,6,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,90,6,6.0,1
Manyak Dükkân,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,1
Maskeli Balo,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,1
M.A.T,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1
Masumlar,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1
Melekler Korusun,2009,16,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,120,73,36.0,2
Nefes,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1
Ömre Bedel,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,2
Papatyam,2009,8,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,90,121,30.0,4
Ramazan Güzeldir,0,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1
Sağlık Olsun,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Sakarya Fırat,2009,13,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,90,151,38.0,4
Samanyolu,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1
Sarı Sarı Liralar,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Sıkı Dostlar,2009,12,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,60,0,0.0,1
Teyzanne,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,1
Unutulmaz,2009,9,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,90,90,45.0,2
Uygun Adım Aşk,0,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,1
Yalancısın Sen,0,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1
Yapma Diyorum,0,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1
Yeni Baştan,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,1
Zoraki Başkan,0,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1
