Dizinin_İsmi,Dizinin_Başlangıç_Yılı,Dizinin_isminin_uzunluğu,Romantik,Dram,Gençlik,Komedi,Macera,KanalD,StarTV,TRT1,ATV,ShowTV,Fox,SamanyoluTV,TV8,Televizyon_Dizisi,İnternet_Dizisi,Bölüm_Süresi,Toplam_Bölüm_Sayısı,Sezon_Başına_Bölüm_Sayısı,Sezon_Sayısı
1973: Biltmore Oteli Cinayeti,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
#adaleTT,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Adım Farah,2023,10,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,140,27,14.0,2
Aile,2023,4,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,120,26,13.0,2
Akif,2023,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,56,13,13.0,1
Aktris,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Al Sancak,2023,9,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,135,19,19.0,1
Altın Kafes,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1
Arak/Kara,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,1
Arayış,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Aşkımız Yeter,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Ateş Kuşları,2023,12,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,135,36,18.0,2
Bambaşka Biri,2023,13,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,130,14,14.0,1
Başım Belada,2023,12,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,130,5,5.0,1
Ben Bu Boşluğu Nasıl,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Benim Güzel Ailem,2023,17,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,135,22,22.0,1
Bir Derdim Var,2023,14,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,135,6,6.0,1
Biz Kimden Kaçıyorduk Anne?,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Dayton,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Deneme Çekimi,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Derin Mor,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Dilek Taşı,2023,10,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,135,16,16.0,1
Dokuz Oğuz,2023,10,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,140,6,6.0,1
Dönence,2023,7,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,120,14,14.0,1
Dünya Bu,2023,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,35,8,8.0,1
EGO,2023,3,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,130,13,13.0,1
Eyvah! Ramazan Bey,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Fedakar,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Gülcemal,2023,8,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,130,13,13.0,1
Hay Sultan,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Hayatımın Neşesi,2023,16,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,120,18,18.0,1
Hudutsuz Sevda,2023,14,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,125,14,14.0,1
Hür,2023,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,48,10,10.0,1
Kader Bağları,2023,13,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,135,5,5.0,1
Kader Oyunları,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Kaküllü Kız,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Kapı,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Kendi Düşen Ağlamaz,2023,19,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,120,26,26.0,1
Kısmet,2023,6,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,110,10,10.0,1
Kızıl Goncalar,2023,14,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,120,2,2.0,1
Kızılelma: Bir Fetih Öyküsü,2023,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,53,8,8.0,1
Kirli Sepeti,2023,12,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,115,13,13.0,1
Kod Adı Kırlangıç,2023,17,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,60,8,8.0,1
Koyu Beyaz,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Kraliçe,2023,7,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,100,11,11.0,1
Kudüs Fatihi Selahaddin Eyyubi,0,30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1
Kuzgun: Dipsiz Karanlık,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Küçük Dahi: İbn-i Sina,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Magarsus,2023,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,45,8,8.0,1
Mahsusa: Trablusgarb,2023,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,10.0,1
Maviye Sürgün,2023,13,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,120,25,25.0,1
Metamorfoz: Kırılma,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Mevlânâ Celâleddîn-i Rûmî,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2
Modern Doğu Masalları,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Ne Gemiler Yaktım,2023,17,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,140,4,4.0,1
Organizasyon Bizim İşimiz,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Ömer,2023,4,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,140,37,18.0,2
Prens,2023,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,8,8.0,1
Ruhun Duymaz,2023,12,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,130,9,9.0,1
Safir,2023,5,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,135,17,17.0,1
Sakla Beni,2023,10,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,125,9,9.0,1
Sandık Kokusu,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,1
Sarmaşık Zamanı,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
"Sen, Ben, O!",2023,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,8,8.0,1
Serhat,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Son Gün,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Şahane Hayatım,2023,14,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,120,9,9.0,1
Şahmaran,2023,8,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,52,8,8.0,1
Şanzelize Düğün Salonu,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Şebeke,2023,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,10.0,1
Taçsız Prenses,2023,14,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,140,13,6.0,2
Terzi,2023,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,40,23,8.0,3
Tetikçinin Oğlu,2023,15,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,140,7,7.0,1
Tozkoparan İskender: Gölge,2023,26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,45,10,10.0,1
Türk Dedektif,2023,13,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,48,6,6.0,1
Üniversdeli,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Üvey Anne,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1
Veda Mektubu,2023,12,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,140,24,24.0,1
Vermem Seni Ellere,2023,18,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,120,9,9.0,1
Ya Çok Seversen,2023,15,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,130,13,13.0,1
Yabani,2023,6,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,130,16,16.0,1
Yalnız Kalpler,2023,14,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,50,100,100.0,1
Yangın Günleri: Independenta,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Yaratılan,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Yardımcı Oyuncu,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Yaz Şarkısı,2023,11,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,120,8,8.0,1
Yeşil Deniz: Milenyum,2023,21,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,60,10,10.0,1
Yeşil Vadi'nin Kızı,2023,19,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,70,73,73.0,1
Yıldızlar Bana Uzak,2023,19,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,135,1,1.0,1
Yüz Yıllık Mucize,2023,17,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,135,13,13.0,1
