Dizinin_İsmi,Dizinin_Başlangıç_Yılı,Dizinin_isminin_uzunluğu,Romantik,Dram,Gençlik,Komedi,Macera,KanalD,StarTV,TRT1,ATV,ShowTV,Fox,SamanyoluTV,TV8,Televizyon_Dizisi,İnternet_Dizisi,Bölüm_Süresi,Toplam_Bölüm_Sayısı,Sezon_Başına_Bölüm_Sayısı,Sezon_Sayısı
Adım Bayram Bayram,0,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1
Adını Feriha Koydum,2011,19,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,120,67,34.0,2
Al Yazmalım,2011,11,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,90,37,37.0,1
Alemin Kralı,2011,12,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,90,67,34.0,2
Anneler ile Kızları,0,19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,1
Artı 18,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,1
Aşağı Yukarı Yemişlililer,2011,25,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,90,10,10.0,1
Avrupa Avrupa,2011,13,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,100,91,30.0,3
Ay Tutulması,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,1
Babam İçin,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,1
Babam Sağolsun,0,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1
Başrolde Aşk,0,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,2
Beni Affet,2011,10,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,40,1477,185.0,8
Bir Çocuk Sevdim,2011,16,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,120,39,39.0,1
Bir Günah Gibi,0,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1
Bir Kadın Tanıdım,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Bir Ömür Yetmez,0,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,1
Bizim Yenge,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Canan,2011,5,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,100,28,14.0,2
Canım Babam,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,1
Cennetin Sırları,2011,16,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,45,70,70.0,1
Dedektif Memoli,2011,15,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,90,12,12.0,1
Derin Sular,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,1
Dinle Sevgili,2011,13,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,60,245,122.0,2
Düz Adam,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
En Son Ne Olur,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Farklı Boyut,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,1
Firar,2011,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,124,35,18.0,2
Gol Olur,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Gün Akşam Oldu,0,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,1
Hayat Devam Ediyor,2011,18,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,120,46,23.0,2
Hayata Beş Kala,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1
Her Şeye Rağmen,0,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1
Huzurum Kalmadı,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
İffet,2011,5,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,90,40,20.0,2
İstanbul Hatırası,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
İstanbul'un Altınları,2011,21,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,60,16,16.0,1
İzmir Çetesi,2011,12,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,90,16,16.0,1
Kalbim Seni Seçti,0,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1
Karakol,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,1
Karımın Dediği Dedik Çaldığı Kontrobas,0,38,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,1
Kayıp Aranıyor,0,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1
Keşanlı Ali Destanı,2011,19,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,110,20,20.0,1
Kız Annesi,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
