Dizinin_İsmi,Dizinin_Başlangıç_Yılı,Dizinin_isminin_uzunluğu,Romantik,Dram,Gençlik,Komedi,Macera,KanalD,StarTV,TRT1,ATV,ShowTV,Fox,SamanyoluTV,TV8,Televizyon_Dizisi,İnternet_Dizisi,Bölüm_Süresi,Toplam_Bölüm_Sayısı,Sezon_Başına_Bölüm_Sayısı,Sezon_Sayısı
Şehnaz Tango,1994,12,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,130,32.0,4
Şeytanın Gözyaşları,0,19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1
Tatlı Kaçıklar,1996,14,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,165,33.0,5
Türkmen Düğünü,1989,14,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,3.0,1
Uğurlugiller,1988,12,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,25,68,17.0,4
Umut Taksi,1992,10,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,30,52,26.0,2
Üç İstanbul,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1
Üvey Baba,1998,9,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,204,34.0,6
Yaprak Dökümü,0,13,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,45,0,NaN,0
Yaz Evi,1996,7,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,100,33.0,3
Yazlıkçılar,1993,11,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,39,6.0,6
Yılan Hikâyesi,1999,14,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,55,90,30.0,3
