Dizinin_İsmi,Dizinin_Başlangıç_Yılı,Dizinin_isminin_uzunluğu,Romantik,Dram,Gençlik,Komedi,Macera,KanalD,StarTV,TRT1,ATV,ShowTV,Fox,SamanyoluTV,TV8,Televizyon_Dizisi,İnternet_Dizisi,Bölüm_Süresi,Toplam_Bölüm_Sayısı,Sezon_Başına_Bölüm_Sayısı,Sezon_Sayısı
7 Yüz,2017,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,7,7.0,1
Adı Efsane,2017,10,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,140,29,29.0,1
Aslan Ailem,2017,11,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,120,31,31.0,1
Aşk-ı Roman,2017,11,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,60,25,25.0,1
Aşk ve Gurur,2017,12,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,120,6,6.0,1
Ateşböceği,2017,10,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,150,17,17.0,1
Babası,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0
Badem Şekeri,2017,12,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,101,5,5.0,1
Bahtiyar Ölmez,2017,14,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,19,19.0,1
Benim Babam Bir Melek,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0
Bir Deli Sevda,2017,14,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,120,4,4.0,1
Bir Sevda İşi,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0
Bizim Hikaye,2017,12,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,120,70,35.0,2
Bu Sayılmaz,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,1
Bu Şehir Arkandan Gelecek,2017,25,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,150,20,20.0,1
Cennet'in Gözyaşları,2017,20,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,120,36,36.0,1
Çalınmış Hayatlar,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Çelo,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0
Çember,2017,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,100,19,10.0,2
Çoban Yıldızı,2017,13,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,120,17,17.0,1
Çocuklar Duymasın,2017,17,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,120,76,38.0,2
Çukur,2017,5,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,120,131,33.0,4
Dayan Yüreğim,2017,13,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,120,13,13.0,1
Deli Gönül,2017,10,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,130,10,10.0,1
Dolunay,2017,7,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,120,26,26.0,1
Dostlar Mahallesi,2017,17,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,120,3,3.0,1
