Dizinin_İsmi,Dizinin_Başlangıç_Yılı,Dizinin_isminin_uzunluğu,Romantik,Dram,Gençlik,Komedi,Macera,KanalD,StarTV,TRT1,ATV,ShowTV,Fox,SamanyoluTV,TV8,Televizyon_Dizisi,İnternet_Dizisi,Bölüm_Süresi,Toplam_Bölüm_Sayısı,Sezon_Başına_Bölüm_Sayısı,Sezon_Sayısı
1 Erkek 1 Kadın 2 Çocuk,2008,23,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,45,416,416.0,1
Ağlatan Dans,0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,1
Ah Neriman,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,1
Alın Yazım,2014,10,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,60,240,120.0,2
Analı Oğullu / Anasının Oğlu,0,28,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0,1
Ankara'nın Dikmen'i,2014,19,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,120,25,12.0,2
Aşkın Kanunu,0,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1
Asayiş Berkkemal,0,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,1
Aşktan Kaçılmaz,0,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,1
Bana Artık Hicran De,0,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Benim Adım Gültepe,2014,18,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,8,8.0,1
Beyaz Karanfil,2014,14,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,140,6,6.0,1
Bir Yusuf Masalı,0,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1
Boynu Bükükler,2014,14,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,7,7.0,1
Büyük Sır,2014,9,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,90,5,5.0,1
Cinayet,2014,7,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,80,5,5.0,1
Çılgın Dersane Üniversite'de,0,28,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,1
Çırağan Baskını,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1
Diğer Yarım,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1
Diriliş Ertuğrul,2014,16,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,120,150,30.0,5
Düşler ve Umutlar,2014,17,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5,5.0,1
Elif,2014,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,60,940,188.0,5
Emanet,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,1
Ezra,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,1
Filinta,2014,7,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,110,56,28.0,2
Gölgedekiler,0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,1
Gönül İşleri,2014,12,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,120,28,28.0,1
Güllerin Savaşı,2014,15,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,105,68,34.0,2
Günahkar,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,1
Güzel Köylü,2014,11,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,120,52,52.0,1
Hatasız Kul Olmaz,0,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1
Hayat Ağacı,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1
Hayat Yolunda,0,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Her Sevda Bir Veda,2014,18,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,100,4,4.0,1
Hom Ofis,2014,8,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,100,4,4.0,1
Kaçak Gelinler,2014,14,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,110,29,29.0,1
Kaderimin Yazıldığı Gün,2014,23,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,110,50,25.0,2
Kadim Dostum,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,1
Kalp Hırsızı,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1
Kara Para Aşk,2014,13,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,130,54,27.0,2
Kardeş Payı,2014,11,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,70,35,18.0,2
Kertenkele,2014,10,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,120,85,28.0,3
Kızıl Elma,2014,10,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,100,28,14.0,2
Kiraz Mevsimi,2014,13,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,90,59,30.0,2
Kocamın Ailesi,2014,14,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,135,57,28.0,2
Kurt Seyit ve Şura,2014,18,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,90,21,10.0,2
Küçük Ağa,2014,9,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,100,50,25.0,2
Mihrap Yerinde,0,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,1
Ne Diyoosun,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Not Defteri,2014,11,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,100,13,13.0,1
O Hayat Benim,2014,13,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,170,131,33.0,4
Otel Divane,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,1
Paramparça,2014,10,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,130,97,32.0,3
Paşa Gönlüm,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Reaksiyon,2014,9,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,13,13.0,1
Roman Havası,2014,12,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,100,6,6.0,1
Ruhumun Aynası,2014,14,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,7,7.0,1
Sil Baştan,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,1
Sungurlar,2014,9,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,120,39,20.0,2
Şeref Meselesi,2014,14,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,120,26,26.0,1
Şimdi Onlar Düşünsün,2014,20,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,100,18,18.0,1
Tanıklar,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1
Ulan İstanbul,2014,13,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,115,39,39.0,1
Urfalıyam Ezelden,0,17,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,1
Üç Arkadaş,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1
Yasak,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1
Yedi Güzel Adam,2014,15,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,100,39,20.0,2
Yedikule Hayat Yokuşu,0,21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,2
Yeşil Deniz,2014,11,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,120,75,38.0,2
Yetim Gönüller,2014,14,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,100,16,16.0,1
Yılanların Öcü,2014,14,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,110,49,24.0,2
Zeytin Tepesi,2014,13,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,100,7,7.0,1
