Dizinin_İsmi,Dizinin_Başlangıç_Yılı,Dizinin_isminin_uzunluğu,Romantik,Dram,Gençlik,Komedi,Macera,KanalD,StarTV,TRT1,ATV,ShowTV,Fox,SamanyoluTV,TV8,Televizyon_Dizisi,İnternet_Dizisi,Bölüm_Süresi,Toplam_Bölüm_Sayısı,Sezon_Başına_Bölüm_Sayısı,Sezon_Sayısı
4N1K Yeni Başlangıçlar,0,22,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,1
Afili Aşk,2019,9,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,120,38,38.0,1
Aşk Ağlatır,2019,11,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,120,16,16.0,1
Atiye,2019,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,30,24,8.0,3
Aynen Aynen,2019,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,8,43,7.0,6
Azize,2019,5,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,130,6,6.0,1
Baharı Beklerken,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Behzat Ç. Bir Ankara Polisiyesi,2010,31,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,75,105,105.0,1
Benim Adım Melek,2019,16,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,120,66,33.0,2
Bir Kahramanın Rüyası,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0
Benim Tatlı Yalanım,2019,19,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,120,28,28.0,1
Bir Aile Hikayesi,2019,17,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,130,18,9.0,2
Canevim,2019,7,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,140,17,17.0,1
Çocuk,2019,5,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,120,18,18.0,1
Çok Güzel Hareketler 2,2019,22,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,120,159,26.0,6
Dengi Dengine,2019,13,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,100,5,5.0,1
Doğduğun Ev Kaderindir,2019,22,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,130,43,22.0,2
Ferhat ile Şirin,2019,16,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,120,6,6.0,1
Gorbi,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,1
Güvercin,2019,8,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,120,16,16.0,1
Halka,2019,5,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,130,19,19.0,1
Hekimoğlu,2019,9,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,130,51,26.0,2
Her Yerde Sen,2019,13,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,120,23,23.0,1
