Dizinin_İsmi,Dizinin_Başlangıç_Yılı,Dizinin_isminin_uzunluğu,Romantik,Dram,Gençlik,Komedi,Macera,KanalD,StarTV,TRT1,ATV,ShowTV,Fox,SamanyoluTV,TV8,Televizyon_Dizisi,İnternet_Dizisi,Bölüm_Süresi,Toplam_Bölüm_Sayısı,Sezon_Başına_Bölüm_Sayısı,Sezon_Sayısı
46 Yok Olan,2016,11,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,60,13,13.0,1
Adı Yunus,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0
Adını Sen Koy,2016,13,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,140,397,99.0,4
Aile İşi,2016,8,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,120,13,13.0,1
Altınsoylar,2016,11,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,120,3,3.0,1
Ankara Yazı,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Anne,2016,4,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,120,33,33.0,1
Arkadaşlar İyidir,2016,17,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,120,10,10.0,1
Aşk Laftan Anlamaz,2016,18,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,120,31,31.0,1
Aşk ve Mavi,2016,11,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,140,78,26.0,3
Aşk Yalanı Sever,0,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,1
Babam ve Ailesi,0,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Bana Sevmeyi Anlat,2016,18,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,130,22,22.0,1
Bir Gün Bir Çocuk,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0
Bir Sevda İşi,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0
Biz Bir Dolaşalım,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0
Bodrum Masalı,2016,13,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,42,42.0,1
Bünyamin,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0
Cesur ve Güzel,2016,14,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,120,32,32.0,1
Cesur Yürek,2016,11,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,120,21,21.0,1
Çifte Saadet,2016,12,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,120,11,11.0,1
Çizgiyi Geç,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0
Ekisposter,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0
Familya,2016,7,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,100,10,10.0,1
Gecenin Kraliçesi,2016,17,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,120,15,15.0,1
Göç Zamanı,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,1
Güldüy Güldüy Show Çocuk,2016,24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,31,16.0,2
Gülümse Yeter,2016,13,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,100,24,24.0,1
Hangimiz Sevmedik,2016,17,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,120,40,40.0,1
Hanım Köylü,2016,11,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,120,13,13.0,1
Hayat Bazen Tatlıdır,2016,20,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,150,26,26.0,1
Hayat Sevince Güzel,2016,19,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,140,15,15.0,1
Hayat Şarkısı,2016,13,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,120,57,28.0,2
Hayatımın Aşkı,2016,14,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,120,17,17.0,1
İçerde,2016,6,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,120,39,39.0,1
İlişki Durumu: Evli,2016,19,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,100,4,4.0,1
İmkânsız Olasılık,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0
İstanbul Sokakları,2016,18,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,140,9,9.0,1
Kaçın Kurası,2016,12,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,120,4,4.0,1
Kalbim Yangın Yeri,0,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,1
Kalbimdeki Deniz,2016,16,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,140,60,30.0,2
Kanıt: Ateş Üstünde,2016,19,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,120,8,8.0,1
Kehribar,2016,8,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,120,15,15.0,1
Kırıntılar,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0
Kış Güneşi,2016,10,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,90,18,18.0,1
Koyverdin Gittin Beni,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0
Kördüğüm,2016,8,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,110,31,16.0,2
Makas,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0
Melek ile Serhat,0,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,1
Muna,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0
Müdür Ne'aptın?,2016,15,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,100,13,13.0,1
No: 309,2016,7,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,150,65,32.0,2
N'olur Ayrılalım,2016,16,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,120,5,5.0,1
Oyunbozan,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,1
Pinhan,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0
Rengarenk,2016,9,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,120,7,7.0,1
Rüzgarın Kalbi,2016,14,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,120,9,9.0,1
Saruhan,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0
Seddülbahir 32 Saat,2016,19,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4,4.0,1
Sessiz Yalanlar,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0
Sevda Kuşun Kanadında,2016,21,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,110,31,16.0,2
Seviyor Sevmiyor,2016,16,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,28,28.0,1
Sıfır Bir,2016,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35,43,7.0,6
Son Takla,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0
Suda Balık,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0
