Dizinin_İsmi,Dizinin_Başlangıç_Yılı,Dizinin_isminin_uzunluğu,Romantik,Dram,Gençlik,Komedi,Macera,KanalD,StarTV,TRT1,ATV,ShowTV,Fox,SamanyoluTV,TV8,Televizyon_Dizisi,İnternet_Dizisi,Bölüm_Süresi,Toplam_Bölüm_Sayısı,Sezon_Başına_Bölüm_Sayısı,Sezon_Sayısı
6 Mantı,2012,7,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,60,52,26.0,2
Acayip Hikayeler,2012,16,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,42,11,11.0,1
Adını Feriha Koydum: Emir'in Yolu,2012,33,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,13,13.0,1
Ağır Roman Yeni Dünya,2012,21,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,90,10,10.0,1
Alev Alev,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1
Annem Uyurken,0,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Araf Zamanı,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NaN,0
Aşk Kaç Beden Giyer,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0
Aşkın Halleri,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,1
Babalar ve Evlatları,0,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,1
Benim İçin Üzülme,2012,17,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,90,55,28.0,2
Bir Zamanlar Osmanlı,2012,20,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,80,20,10.0,2
Böyle Bitmesin,2012,14,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,69,34.0,2
Bulutların Ötesi,0,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,2
Canım Benim,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,2
Canımın İçi,0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,1
Çıplak Gerçek,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,1
Dedemin Dolabı,0,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,1
Dila Hanım,2012,10,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,90,62,31.0,2
Düşman Kardeşler,2012,16,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,11,11.0,1
Esir Sultan,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1
Esir Şehrin Gözyaşları - Bir Ferhat ile Şirin Hikayesi,2012,54,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,90,5,5.0,1
Eve Düşen Yıldırım,2012,18,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,22,11.0,2
Evlerden Biri,2012,13,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,90,13,13.0,1
Evvel Zaman Hikâyesi,0,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1
Harem,2012,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,90,32,32.0,1
Hayatımın Rolü,2012,14,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,19,19.0,1
Hızır Ekip,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NaN,0
Huzur Sokağı,2012,12,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,90,67,34.0,2
İbreti Ailem,2012,12,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,8,8.0,1
İki Dünya Arasında,2012,18,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,105,705,176.0,4
İki Yaka Bir İsmail,0,19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1
İşler Güçler,2012,12,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,75,41,41.0,1
Kalbim Dört Mevsim,0,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,1
Karadayı,2012,8,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,130,115,38.0,3
Kayıp Şehir,2012,11,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,120,26,26.0,1
Korkma,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1
Koyu Kırmızı,2012,12,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,75,13,13.0,1
Kötü Yol,2012,8,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,90,13,13.0,1
Krem,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1
Kurt Kanunu,2012,11,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,75,18,18.0,1
Küçük Kıyamet,2012,13,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,78,78.0,1
Küçük Hesaplar,0,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,1
Muck,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,1
Merhaba Hayat,2012,13,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,90,13,13.0,1
Nizama Adanmış Ruhlar/Ekip 1,0,28,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,4
Polis Hikâyeleri,0,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NaN,0
Seksenler,2012,9,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,120,655,66.0,10
Son,2012,3,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,90,25,25.0,1
Son Yaz Balkanlar 1912,0,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1
Sudan Çıkmış Balıklar,0,21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,1
Sultan,2012,6,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,20,20.0,1
Suskunlar,2012,9,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,90,28,14.0,2
Şubat,2012,5,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,100,32,32.0,1
Türk'ün Uzayla İmtihanı,2012,23,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,90,9,9.0,1
Uçurum,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,2
Ustura Kemal,2012,12,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,90,14,14.0,1
Veda,2012,4,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,90,8,8.0,1
Yalan Dünya,2012,11,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,120,90,22.0,4
Yol Ayrımı,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1
Zengin Kız Fakir Oğlan,2012,22,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,110,136,34.0,4
