Dizinin_İsmi,Dizinin_Başlangıç_Yılı,Dizinin_isminin_uzunluğu,Romantik,Dram,Gençlik,Komedi,Macera,KanalD,StarTV,TRT1,ATV,ShowTV,Fox,SamanyoluTV,TV8,Televizyon_Dizisi,İnternet_Dizisi,Bölüm_Süresi,Toplam_Bölüm_Sayısı,Sezon_Başına_Bölüm_Sayısı,Sezon_Sayısı
29-30,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,1
Acemi Cadı,2006,10,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,60,58,29.0,2
Adak,-,4,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,10,10.0,1
Ah Polis Olsam,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Ahh İstanbul,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1
Anadolu Kaplanı,0,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Arka Sokaklar,2006,13,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,135,657,36.0,18
Aşk Yolu,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1
Aynı Çatı Altında,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Azap Yolu,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1
Bebeğim,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1
Binbir Gece,2006,11,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,80,90,30.0,3
Bulamadım,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,1
Candan Öte,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,1
Cemil Oldu Jimmy,0,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Cemile,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,1
Çeşm-i Bülbül,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,1
Daha Neler,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,1
Deli Dolu,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Doktorlar,2006,9,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,90,97,24.0,4
Eksi 18,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Eksik Etek,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,1
Erkekler Ağlamaz,0,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1
Erkeksen Seyret,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Esir Kalpler,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Ezo Gelin,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,2
Felek Ne Demek,0,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,1
