Dizinin_İsmi,Dizinin_Başlangıç_Yılı,Dizinin_isminin_uzunluğu,Romantik,Dram,Gençlik,Komedi,Macera,KanalD,StarTV,TRT1,ATV,ShowTV,Fox,SamanyoluTV,TV8,Televizyon_Dizisi,İnternet_Dizisi,Bölüm_Süresi,Toplam_Bölüm_Sayısı,Sezon_Başına_Bölüm_Sayısı,Sezon_Sayısı
1 Erkek 1 Kadın,2008,15,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,45,416,52.0,8
Adanalı,2008,7,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,90,79,26.0,3
Akasya Durağı,2008,13,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,90,174,35.0,5
Aman Annem Görmesin,0,19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1
Aşk Yakar,2008,9,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,27,27.0,1
Aşk-ı Memnu,2008,11,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,90,79,40.0,2
Aşkım Aşkım,2001,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,50,50.0,1
Ateş ve Barut,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,1
Ateşten Koltuk,0,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,1
Ay Işığı,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,1
Baba Ocağı,2008,10,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,52,52.0,1
Babam Adam Olacak,0,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1
Benim Annem Bir Melek,2008,21,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,90,64,21.0,3
Beni Unutma,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1
Bir Göçmen Kuştu O,0,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1
Bir Varmış Bir Yokmuş,2008,21,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4,4.0,1
Canım Ailem,2008,11,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,63,32.0,2
Cennetin Çocukları,0,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1
Cesaretin Var Mı Aşka,2008,21,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,8,8.0,1
Çemberin Dışında,0,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,1
Çok Güzel Hareketler Bunlar,2008,27,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,105,90,22.0,4
Dalgakıran,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1
Dantel,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1
Dedektif Biraderler,0,19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,1
Derdest,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,1
Derman,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Doğruluk Ekseni,2008,15,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,100,36,36.0,1
Doksandokuz,2008,11,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,90,99,Inf,0
Doludizgin Yıllar,2008,17,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,90,47,24.0,2
Dur Yolcu,2008,9,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,13,13.0,1
Düğün Şarkıcısı,0,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Ece,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Elif,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1
Emret Komutanım,2005,15,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,90,95,95.0,1
Eyvah Halam,2008,11,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,100,5,5.0,1
Gazi,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1
Gece Gündüz,2008,11,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,80,29,29.0,1
Gece Sesleri,0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,1
Geç Gelen Bahar,0,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1
Gonca Karanfil,0,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1
Görgüsüzler,2008,11,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,80,6,6.0,1
Gurbet Kuşları,0,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1
Güldünya,2008,8,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,90,10,10.0,1
Hayat Güzeldir,0,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,1
