Dizinin_İsmi,Dizinin_Başlangıç_Yılı,Dizinin_isminin_uzunluğu,Romantik,Dram,Gençlik,Komedi,Macera,KanalD,StarTV,TRT1,ATV,ShowTV,Fox,SamanyoluTV,TV8,Televizyon_Dizisi,İnternet_Dizisi,Bölüm_Süresi,Toplam_Bölüm_Sayısı,Sezon_Başına_Bölüm_Sayısı,Sezon_Sayısı
Adı Sevgi,2022,9,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,120,11,11.0,1
Ah Nerede,2022,9,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,120,7,7.0,1
Aldatmak,2022,8,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,130,51,26.0,2
Annenin Sırrıdır Çocuk,2022,22,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,140,11,11.0,1
Andropoz,2022,8,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,45,6,6.0,1
Aslında Özgürsün,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Aşk Kumardır,2022,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,7.0,1
Aşk ve Umut,2022,11,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,50,230,115.0,2
Aşkın Yolculuğu: Hacı Bayram-ı Veli,2022,35,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,120,26,26.0,1
Baba,2022,4,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,120,30,15.0,2
Balkan Ninnisi,2022,14,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,25,25.0,1
Barbaros Hayreddin: Sultanın Fermanı,2022,36,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,120,20,20.0,1
Ben Bu Cihana Sığmazam,2022,22,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,135,51,26.0,2
Ben Gri,2022,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,8,8.0,1
Bir Küçük Gün Işığı,2022,19,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,135,36,36.0,1
Bir Peri Masalı,2022,15,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,130,13,13.0,1
Canım Annem,2022,11,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,50,350,350.0,1
Cezailer,2022,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,6.0,1
