Dizinin_İsmi,Dizinin_Başlangıç_Yılı,Dizinin_isminin_uzunluğu,Romantik,Dram,Gençlik,Komedi,Macera,KanalD,StarTV,TRT1,ATV,ShowTV,Fox,SamanyoluTV,TV8,Televizyon_Dizisi,İnternet_Dizisi,Bölüm_Süresi,Toplam_Bölüm_Sayısı,Sezon_Başına_Bölüm_Sayısı,Sezon_Sayısı
4N1K İlk Aşk,2018,12,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,120,12,12.0,1
8. Gün,2018,6,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,120,6,6.0,1
Acayip Tipler,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,1
Adı: Zehra,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,1
Ağlama Anne,2018,11,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,120,13,13.0,1
Alija,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1
Aşktroloji,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0
Avlu,2018,4,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,120,44,22.0,2
Babamın Günahları,0,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,1
Bamsı Beyrek,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0
Bartu Ben,2018,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10,10.0,1
Beni Bırakma,2018,12,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,60,630,158.0,4
Benden Bu Kadar,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0
Bir Deli Rüzgar,2018,15,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,130,6,6.0,1
Bir Litre Gözyaşı,2018,17,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,140,15,15.0,1
Bir Mucize Olsun,2018,16,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,120,3,3.0,1
Bir Umut Yeter,2018,14,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,120,6,6.0,1
Bir Zamanlar Çukurova,2018,21,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,150,141,35.0,4
Bittin Sen,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0
Bozkır,2018,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,58,18,9.0,2
Börü,2018,4,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,60,6,6.0,1
Can Kırıkları,2018,13,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,120,4,4.0,1
Çarpışma,2018,8,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,140,24,24.0,1
Darısı Başımıza,2018,15,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,120,5,5.0,1
Dip,2018,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,60,8,8.0,1
Dudullu Postası,2018,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,13,13.0,1
Ege'nin Hamsisi,2018,15,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,140,23,23.0,1
Elimi Bırakma,2018,13,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,150,59,30.0,2
Erkenci Kuş,2018,11,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,120,51,51.0,1
Eşik,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Gülizar,2018,7,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,120,10,10.0,1
Gülperi,2018,7,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,120,30,30.0,1
Hakan: Muhafız,2018,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,45,32,8.0,4
Hıçkırık,2018,8,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,60,50,50.0,1
İkizler Memo-Can,2018,16,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,120,25,25.0,1
İnsanlık Suçu,2018,13,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,140,8,8.0,1
Jet Sosyete,2018,11,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,51,59,20.0,3
Kalbimin Sultanı,2018,16,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,8,8.0,1
Kanaga,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Kan Kardeşler,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0
Keşke Hiç Büyümeseydik,0,22,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,1
Kızım,2018,5,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,120,34,34.0,1
Koca Koca Yalanlar,2018,18,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,120,12,12.0,1
Kocaman Ailem,2018,13,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,140,8,8.0,1
Masum Değiliz,2018,13,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,120,6,6.0,1
Mehmetçik: Kutlu Zafer,2018,22,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,120,33,33.0,1
Mehmetçik: Kut'ül-Amare,2018,23,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,120,33,33.0,1
Mehmed: Bir Cihan Fatihi,2018,24,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,120,6,6.0,1
Meleklerin Aşkı,2018,15,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,120,11,11.0,1
Muhteşem İkili,2018,14,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,140,12,12.0,1
Nefes Nefese,2018,12,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,120,10,10.0,1
Ölümü Gör,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0
Sen Anlat Karadeniz,2018,19,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,140,64,21.0,3
Servet,2018,6,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,130,4,4.0,1
Şahin Tepesi,2018,12,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,140,6,6.0,1
Şahsiyet,2018,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,60,21,10.0,2
Tam Kafadan,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Tehlikeli Karım,2018,15,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,120,6,6.0,1
Tozkoparan,2018,10,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,60,55,18.0,3
Tufa,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Yabancı Damat,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0
Yasak Elma,2018,10,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,130,177,30.0,6
Yaşamayanlar,2018,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,60,8,8.0,1
Yuvamdaki Düşman,2018,16,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,120,6,6.0,1
