Dizinin_İsmi,Dizinin_Başlangıç_Yılı,Dizinin_isminin_uzunluğu,Romantik,Dram,Gençlik,Komedi,Macera,KanalD,StarTV,TRT1,ATV,ShowTV,Fox,SamanyoluTV,TV8,Televizyon_Dizisi,İnternet_Dizisi,Bölüm_Süresi,Toplam_Bölüm_Sayısı,Sezon_Başına_Bölüm_Sayısı,Sezon_Sayısı
7 Numara,2000,8,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,40,92,31.0,3
Ablam Böyle İstedi,0,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NaN,0
Acı Hayat,2005,9,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,90,59,30.0,2
Ah Be İstanbul,0,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NaN,0
Alacakaranlık,2003,13,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,37,18.0,2
Alanya Almanya,0,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NaN,0
Aliye,2004,5,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,76,25.0,3
Aslı ile Kerem,0,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NaN,0
Asmalı Konak,2002,12,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,60,54,27.0,2
Aşk Her Yaşta,0,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Aşk Oyunu,0,9,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.0,2
Aşka Sürgün,2005,11,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,90,53,26.0,2
Aşkım Aşkım,2001,11,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,50,50.0,1
Aşkımızda Ölüm Var,0,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NaN,0
Azize,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1
Avrupa Yakası,2004,13,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,90,190,32.0,6
Bayanlar Baylar,2002,15,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,13,13.0,1
Belalı Baldız,2005,13,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,60,34,34.0,1
Berivan,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,2
Beşinci Boyut,2005,13,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,80,140,28.0,5
Beyaz Gelincik,2005,14,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,74,37.0,2
Bir Dilim Aşk,0,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Bir İstanbul Masalı,2003,19,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,75,71,36.0,2
Bizim Evin Halleri,2000,18,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1705,170.0,10
Bütün Çocuklarım,0,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Büyük Buluşma,2004,13,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,90,155,39.0,4
Büyük Yalan,2004,11,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,69,34.0,2
Büyümüş de Küçülmüş,2003,19,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,120,9,9.0,1
Canım Kocacım,0,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1
Cennet Mahallesi,2004,16,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,80,119,40.0,3
Çapkın,2005,6,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,90,17,17.0,1
Çemberimde Gül Oya,2004,18,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,75,40,40.0,1
Çifte Bela,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Çocuğun Var Derdin Var,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Çocuklar Duymasın,2002,17,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,120,464,155.0,3
Çarli İş Başında,0,16,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,1
Çocuklar Ne Olacak,2004,18,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,26,26.0,1
Dadı,2001,4,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,45,61,20.0,3
Davetsiz Misafir,0,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,1
Dikkat Bebek Var,0,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,2
Ekmek Teknesi,2002,13,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,106,35.0,3
Emret Komutanım,2005,15,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,90,95,32.0,3
En İyi Arkadaşım,0,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,2
En Son Babalar Duyar,2002,20,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,200,40.0,5
Esir Şehrin İnsanları,2003,21,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,8,8.0,1
Evdeki Yabancı,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,2
Gelin,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Gülbeyaz,2002,8,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,45,26,26.0,1
Gümüş,2005,5,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,100,33.0,3
Güz Yangını,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,1
