Dizinin_İsmi,Dizinin_Başlangıç_Yılı,Dizinin_isminin_uzunluğu,Romantik,Dram,Gençlik,Komedi,Macera,KanalD,StarTV,TRT1,ATV,ShowTV,Fox,SamanyoluTV,TV8,Televizyon_Dizisi,İnternet_Dizisi,Bölüm_Süresi,Toplam_Bölüm_Sayısı,Sezon_Başına_Bölüm_Sayısı,Sezon_Sayısı
Al Gülüm Ver Gülüm,0,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1
Aşk ve Ceza,2010,11,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,120,62,31.0,2
Ateşe Yürümek,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,1
Behzat Ç. Bir Ankara Polisiyesi,2010,31,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,75,105,35.0,3
Bitmeyen Şarkı,2010,14,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,95,32,32.0,1
Cumaya Kalsa,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Cümbür Cemaat Aile,0,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,1
Çakıl Taşları,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,1
Çocuklar Duymasın,2010,17,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,45,107,54.0,2
Çete,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,1
Deli Saraylı,2010,12,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,90,11,11.0,1
Dürüyenin Güğümleri,0,19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,1
Elde Var Hayat,0,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,2
Farklı Desenler,2010,15,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,140,124,41.0,3
Fatmagül'ün Suçu Ne?,2010,20,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,90,80,40.0,2
Gönül Ferman Dinlemiyor,2010,23,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,90,3,3.0,1
Gönülçelen,2010,10,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,100,56,28.0,2
Güneydoğudan Öyküler Önce Vatan,2010,31,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,11,11.0,1
Güz Gülleri,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,1
Halil İbrahim Sofrası,2010,21,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,60,39,39.0,1
Hanımeli Sokağı,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1
İhanet,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,1
Kader Çizgisi,2010,13,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,15,15.0,1
Kadınları Anlama Kılavuzu,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Kalp Ağrısı,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1
Kanıt,2010,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,75,100,33.0,3
Karadağlar,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,1
Keskin Bıçak,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,1
Kılıç Günü,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1
Kızım Nerede?,2010,13,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,120,26,26.0,1
Kirli Beyaz,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,1
Küçük Sırlar,2010,12,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,90,55,28.0,2
Küstüm Çiçeği,2010,13,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,90,13,13.0,1
Lale Devri,2010,10,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,91,135,34.0,4
