Dizinin_İsmi,Dizinin_Başlangıç_Yılı,Dizinin_isminin_uzunluğu,Romantik,Dram,Gençlik,Komedi,Macera,KanalD,StarTV,TRT1,ATV,ShowTV,Fox,SamanyoluTV,TV8,Televizyon_Dizisi,İnternet_Dizisi,Bölüm_Süresi,Toplam_Bölüm_Sayısı,Sezon_Başına_Bölüm_Sayısı,Sezon_Sayısı
10 Bin Adım,2020,11,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,11,20,10.0,2
Anneler/Acemi Anneler,2020,21,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,59,165,165.0,1
Aile Şirketi,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3
Akrep,2020,5,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,120,26,26.0,1
Alef,2020,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,45,16,8.0,2
Alev Alev,2020,9,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,130,28,28.0,1
Arıza,2020,5,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,150,30,30.0,1
Aşk 101,2020,7,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,33,16,8.0,2
İyi Aile Babası,2020,15,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,130,8,8.0,1
Babil,2020,5,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,130,20,10.0,2
Baraj,2020,5,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,120,39,39.0,1
Bay Yanlış,2020,10,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,130,14,14.0,1
Bir Annenin Günahı,2020,18,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,130,5,5.0,1
Bir Başkadır,2020,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8.0,1
Çatı Katı Aşk,2020,13,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,130,16,16.0,1
Çıplak,2020,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,20,17,8.0,2
Çocukluk,2020,8,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,130,11,11.0,1
Emanet,2020,6,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,55,651,163.0,4
Ev Yapımı,2020,9,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,60,13,13.0,1
Galiçya İşgal Altında,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Gel Dese Aşk,2020,12,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,120,4,4.0,1
Gençliğim Eyvah,2020,15,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,130,17,17.0,1
Gönül Dağı,2020,10,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,150,120,30.0,4
Gün On4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Hizmetçiler,2020,11,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,130,3,3.0,1
İyi Günde Kötü Günde,2020,20,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,120,6,6.0,1
Kafa Doktoru,2020,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,9,9.0,1
Kefaret,2020,7,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,130,35,35.0,1
Kırmızı Oda,2020,11,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,150,61,30.0,2
Kuşlarla Yolculuk,0,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1
Maria ile Mustafa,2020,17,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,130,17,17.0,1
Masumlar Apartmanı,2020,18,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,120,71,36.0,2
Menajerimi Ara,2020,14,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,150,45,45.0,1
Netleşme,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Öğretmen,2020,8,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,90,9,9.0,1
Pes Artık,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Ramo,2020,4,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,130,40,20.0,2
Rise of Empires: Ottoman,2020,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,12,6.0,2
Sadakatsiz,2020,10,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,120,60,30.0,2
Saygı: Bir Ercüment Çözer Dizisi,2020,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,60,16,8.0,2
Sen Çal Kapımı,2020,14,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,140,52,26.0,2
Sokağın Çocukları,2020,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,43,46,8.0,6
Sol Yanım,2020,9,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,120,12,12.0,1
Şaşkın Bakkal 216,2020,17,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,120,3,3.0,1
Şeref Sözü,2020,10,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,120,4,4.0,1
Tövbeler Olsun,2020,14,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,120,32,32.0,1
Tutunamayanlar,2020,14,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,70,19,19.0,1
Türkan Hanım'ın Konağı,2020,22,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,75,193,193.0,1
Uyanış: Büyük Selçuklu,2020,22,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,120,34,34.0,1
Ya İstiklal Ya Ölüm,2020,19,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,120,12,12.0,1
Yarım Kalan Aşklar,2020,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,8.0,1
Yeni Hayat,2020,10,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,130,9,9.0,1
Zemheri,2020,7,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,130,10,10.0,1
Zümrüdüanka,2020,11,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,120,26,13.0,2
