Dizinin_İsmi,Dizinin_Başlangıç_Yılı,Dizinin_isminin_uzunluğu,Romantik,Dram,Gençlik,Komedi,Macera,KanalD,StarTV,TRT1,ATV,ShowTV,Fox,SamanyoluTV,TV8,Televizyon_Dizisi,İnternet_Dizisi,Bölüm_Süresi,Toplam_Bölüm_Sayısı,Sezon_Başına_Bölüm_Sayısı,Sezon_Sayısı
20 Dakika,2013,9,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,90,25,25.0,1
Arkadaşım Hoşgeldin,2013,19,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,90,39,20.0,2
A.Ş.K.,2013,6,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,100,13,13.0,1
Aşkın Bedeli,2013,12,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,55,418,139.0,3
Adını Kalbime Yazdım,0,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,1
Aldırma Gönül,2013,13,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,9,9.0,1
Ali Ayşe'yi Seviyor,0,19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,1
Altındağlı,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,1
Aramızda Kalsın,2013,15,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,52,26.0,2
Aşk Ekmek Hayaller,2013,18,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,10,10.0,1
Aşk Emek İster,0,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,1
Babam Sınıfta Kaldı,2013,19,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,22,22.0,1
Bebek İşi,2013,9,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,34,34.0,1
Ben de Özledim,2013,14,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,70,13,13.0,1
Beni Böyle Sev,2013,14,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,110,89,30.0,3
Ben Onu Çok Sevdim,2013,18,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,90,15,15.0,1
Benim Hala Umudum var,2013,21,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,90,33,33.0,1
Bir Aşk Hikâyesi,2013,16,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,110,36,36.0,1
Bir Yastıkta,0,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1
Bizim Okul,2013,10,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,85,7,7.0,1
Bugünün Saraylısı,0,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,2
Cesur Hemşire,0,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1
Çalıkuşu,2013,8,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,100,30,30.0,1
Çocuklar Duymasın,2013,17,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,120,160,160.0,1
Doksanlar,2013,9,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,130,43,43.0,1
Emret Komutanım Yeniden,2013,23,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,30,30.0,1
En Uzun Yüzyıl,0,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1
Eski Hikâye,2013,11,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,100,17,17.0,1
Evlilik Okulu,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,1
Fatih,2013,5,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,5,5.0,1
Fatih Harbiye,2013,13,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,120,50,25.0,2
