Dizinin_İsmi,Dizinin_Başlangıç_Yılı,Dizinin_isminin_uzunluğu,Romantik,Dram,Gençlik,Komedi,Macera,KanalD,StarTV,TRT1,ATV,ShowTV,Fox,SamanyoluTV,TV8,Televizyon_Dizisi,İnternet_Dizisi,Bölüm_Süresi,Toplam_Bölüm_Sayısı,Sezon_Başına_Bölüm_Sayısı,Sezon_Sayısı
Adsız Aşıklar,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Aile Albümü,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1
Alı-Kara,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Altay,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Arjen,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Asaf,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Asya,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Aşk Yarası,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Aşka Düşman,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,1
Aşka Tutsak,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1
Bahardan Önce,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,1
Beyaz Zambak,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Bi Tuhaf Hikaye,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Bir İhtimal Daha Var,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Bir Sevdadır,0,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1
Bizi Seyreden Bulutlar,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Bodrum Hakimi,0,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1
Boyacı Kızlar,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Büyük Umutlar,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Çırak,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Çirkin,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Çocuk,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Deha,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,1
Düğüm,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Dünyayı Değiştiren Ayten,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
El Turco,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Fatih,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1
Gaddar,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,1
Gelin,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Güzel Atlar Diyarı,0,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1
İnci Taneleri,0,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1
İstanbul Ansiklopedisi,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Kara Ağaç,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1
Kasaba,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Kırmızı Pelerin,0,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,1
"Kimler Geldi, Kimler Geçti",0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Kopuk,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,1
Korkma Ben Yanındayım,0,21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,1
Kötü Kan,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Kurtuluş Lisesi,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Kübra,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Mahsun J,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Organize İşler,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0.0,1
Ölüm Kime Yakışır,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Ru,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Rüzgarlı Tepe,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Saplantı,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,1
Senden Önce,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Sev Kardeşim,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Tamirci,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
"Taş, Kağıt, Makas",0,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Ten,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Yalan,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Yan Oda,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,1
Yarın Yokmuş Gibi,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Yetkisiz Bir Hayat,0,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,1
